Playername,Country,Age,Height,Position,Years Played,Mean Year,Appearances,Goals,Birthplace,Longitude,Latitude
Ubaldo Fillol,Argentina,64,1.81,Goalkeeper,1974-1985,1979.5,58,0,San Miguel del Monte,-58.8083,-35.4417
Mauro Formica,Argentina,26,1.76,Midfielder,2011,2011,1,0,Rosario Santa Fe,-60.6667,-32.95
Victor Ferreyra,Argentina,50,1.82,Forward,1991,1991,2,1,R&#xED;o Tercero C&#xF3;rdoba,-64.1,-32.1833
Juan Evaristo,Argentina,,1.69,Midfielder,1923-1930,1926.5,25,1,Argentina,-58.3833,-34.6
Leo Franco,Argentina,37,1.88,Goalkeeper,2004-2006,2005,4,0,San Nicol&#xE1;s de los Arroyos,-60.2167,-33.3333
Rodolfo Fischer,Argentina,70,,Forward,1967-1972,1969.5,35,12,Ober&#xE1;,-55.1333,-27.4833
Jos&#xE9; Oscar Flores,Argentina,43,1.82,Forward,1994,1994,2,0,Buenos Aires,-58.3817,-34.6033
Fabricio Fuentes,Argentina,37,1.85,Defender,2005,2005,1,0,R&#xED;o Cuarto C&#xF3;rdoba,-64.35,-33.1333
Rogelio Funes Mori,Argentina,23,1.85,Forward,2012-,2013,1,0,Mendoza Argentina,-68.8167,-32.8833
Esteban Fuertes,Argentina,41,1.85,Forward,2009,2009,1,0,Coronel Dorrego Partido,-61.2833,-38.7167
Nicol&#xE1;s Gait&#xE1;n,Argentina,26,1.73,Midfielder,2009-,2011.5,6,0,San Mart&#xED;n Buenos Aires,-58.5333,-34.5667
Juan Gilberto Funes,Argentina,,,Forward,,,4,0,San Luis Argentina,-66.3333,-33.3
H&#xE9;ctor Freschi,Argentina,,,Goalkeeper,,,,,Argentina,-58.3833,-34.6
Juan Jos&#xE9; Ferraro,Argentina,,,Forward,,,8,4,Argentina,-58.3833,-34.6
Fernando Gago,Argentina,28,1.78,Midfielder,2007-,2010.5,55,0,Ciudadela Buenos Aires,-58.5333,-34.6333
Enrique Gainzarain,Argentina,,,Forward,1928,1928,1,0,Argentina,-58.3833,-34.6
Mario Fortunato,Argentina,,,Midfielder,1925-1926,1925.5,11,0,Argentina,-58.3833,-34.6
Alberto Galateo,Argentina,,,Forward,,,,,Argentina,-58.3833,-34.6
Marcelo Gallardo,Argentina,38,1.65,Midfielder,1994-2003,1998.5,44,13,Merlo Partido,-58.7167,-34.6667
Leonel Galeano,Argentina,23,1.83,Defender,2010-,2012,1,0,Miramar Buenos Aires Province,-57.8333,-38.2667
Luis Galv&#xE1;n,Argentina,66,1.74,Defender,1975-1982,1978.5,34,0,Fern&#xE1;ndez Santiago del Estero,-63.9,-27.9167
Luciano Galletti,Argentina,34,1.75,Midfielder,2000-2005,2002.5,13,1,La Plata,-57.9544,-34.9211
Francisco Garraffa,Argentina,,1.68,Midfielder,1933,1933,2,0,Avellaneda,-58.3667,-34.6667
Fernando Gamboa,Argentina,43,,Defender,1991,1991,15,0,Marcos Ju&#xE1;rez,-62.1,-32.7
Rub&#xE9;n Galv&#xE1;n (footballer),Argentina,62,,Midfielder,,,,,Comandante Fontana,-59.6833,-25.3333
Adri&#xE1;n Gabbarini,Argentina,28,1.82,Goalkeeper,2010-,2012,3,0,Guaymall&#xE9;n Department,-68.7833,-32.9
Ezequiel Garay,Argentina,27,1.89,Defender,2007-,2010.5,25,0,Rosario Santa Fe,-60.6667,-32.95
Bernardo Gandulla,Argentina,,,Forward,1940,1940,1,0,Buenos Aires,-58.3817,-34.6033
Ariel Garc&#xE9;,Argentina,35,1.77,Defender,2003-2010,2006.5,4,0,Tandil,-59.1333,-37.3167
Rub&#xE9;n Horacio Galletti,Argentina,63,,Midfielder,,,,,Buenos Aires,-58.3817,-34.6033
Am&#xE9;rico Gallego,Argentina,59,1.70,Midfielder,1975-1982,1978.5,73,3,Morteros,-62,-30.7
Hugo Gatti,Argentina,70,1.85,Goalkeeper,1966-1977,1971.5,18,0,Carlos Tejedor Partido,-62.9167,-35.3667
Claudio Garc&#xED;a,Argentina,50,,Midfielder,1991-1993,1992,13,3,Buenos Aires,-58.3817,-34.6033
Oscar Garr&#xE9;,Argentina,57,1.75,Defender,1983-1988,1985.5,39,0,Buenos Aires,-58.3817,-34.6033
Javier Hern&#xE1;n Garc&#xED;a,Argentina,27,1.80,Goalkeeper,2011-,2012.5,1,0,Buenos Aires,-58.3817,-34.6033
Paolo Goltz,Argentina,29,1.84,Defender,2010-,2012,1,0,Hasenkamp,-59.85,-31.5167
Enrique Garc&#xED;a,Argentina,,,Midfielder,1935-1943,1939,35,9,Santa Fe Argentina,-60.7,-31.6333
Ricardo Gareca,Argentina,56,1.86,Forward,1981-1986,1983.5,20,5,Tapiales,-58.5047,-34.7058
Emanuel Gigliotti,Argentina,27,1.83,Forward,2011-,2012.5,1,0,Buenos Aires,-58.3817,-34.6033
Alberto Mario Gonz&#xE1;lez,Argentina,73,,Forward,,,,,Argentina,-58.3833,-34.6
Ignacio Carlos Gonz&#xE1;lez,Argentina,42,1.89,Goalkeeper,1997-1998,1997.5,4,0,Sarand&#xED; Buenos Aires,-58.3333,-34.6833
Marcelo G&#xF3;mez,Argentina,43,,Midfielder,1995,1995,1,0,Buenos Aires,-58.3817,-34.6033
Blas Giunta,Argentina,50,,Midfielder,1987-1991,1989,7,0,Buenos Aires,-58.3817,-34.6033
Sergio Goycochea,Argentina,50,1.85,Goalkeeper,1988-1994,1991,44,0,Z&#xE1;rate Buenos Aires,-59.0333,-34.0833
Kily Gonz&#xE1;lez,Argentina,40,1.75,Midfielder,2004,2004,6,1,Rosario Santa Fe,-60.6667,-32.95
N&#xE9;stor Gorosito,Argentina,50,1.77,Midfielder,1989-1997,1993,19,1,San Fernando Buenos Aires,-58.6167,-34.45
Esteban Gonz&#xE1;lez,Argentina,52,,Forward,,,,,Buenos Aires,-58.3817,-34.6033
Enrique Guaita,Argentina,,,Forward,1933-1937,1935,4,1,Lucas Gonz&#xE1;lez Argentina,-59.55,-32.4
Andr&#xE9;s Guglielminpietro,Argentina,40,,Midfielder,1999,1999,6,0,San Nicol&#xE1;s de los Arroyos,-60.2167,-33.3333
Mariano Gonz&#xE1;lez,Argentina,33,1.75,Midfielder,2003-2008,2005.5,9,0,Tandil,-59.1333,-37.3167
Ricardo Giusti,Argentina,57,1.78,Midfielder,1983-1990,1986.5,53,0,Arroyo Seco Santa Fe,-60.5,-33.1667
Lucho Gonz&#xE1;lez,Argentina,33,1.85,Midfielder,2003-2011,2007,45,6,Buenos Aires,-58.3817,-34.6033
Jorge Griffa,Argentina,78,,Defender,1959,1959,4,0,Casilda,-61.1667,-33.05
Juan H&#xE9;ctor Guidi,Argentina,,,Midfielder,1956-1961,1958.5,37,0,Argentina,-58.3833,-34.6
Ernesto Grillo,Argentina,,,Midfielder,,,21,8,Buenos Aires,-58.3817,-34.6033
Jon&#xE1;s Guti&#xE9;rrez,Argentina,31,1.84,Midfielder,2007-,2010.5,22,1,S&#xE1;enz Pe&#xF1;a Buenos Aires,-58.5167,-34.6
Diego Guidi,Argentina,33,1.86,Defender,,,,,Argentina,-58.3833,-34.6
Gabriel Heinze,Argentina,36,1.78,Defender,2003-2010,2006.5,72,3,Crespo Entre R&#xED;os,-60.3167,-32.0333
Juan Enrique Hayes,Argentina,,,Forward,1910-1919,1914.5,21,8,Rosario Santa Fe,-60.6667,-32.95
Marius Hiller,Argentina,,,Midfielder,1916,1916,2,4,Pforzheim,8.7167,48.9019
Patricio Hern&#xE1;ndez,Argentina,58,,Midfielder,-1982-,,,,San Nicol&#xE1;s de los Arroyos,-60.2167,-33.3333
Ram&#xF3;n Heredia,Argentina,,1.76,Defender,1970-1975,1972.5,30,2,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Pablo Gui&#xF1;az&#xFA;,Argentina,35,1.72,Midfielder,2003-,2008.5,16,0,C&#xF3;rdoba Province Argentina,-64.1833,-31.4167
Gonzalo Higua&#xED;n,Argentina,26,1.84,Forward,2009-,2011.5,43,22,Brest France,-4.4833,48.3833
Nelson Ib&#xE1;&#xF1;ez,Argentina,32,1.85,Goalkeeper,2010,2010,1,0,Mendoza Argentina,-68.8167,-32.8833
Claudio Husa&#xED;n,Argentina,39,1.80,Midfielder,1997-2002,1999.5,14,1,San Justo Buenos Aires,-58.55,-34.6833
Ariel Ibagaza,Argentina,37,1.66,Midfielder,1994-2012,2003,2,0,Buenos Aires,-58.3817,-34.6033
Gabriel Hauche,Argentina,27,1.67,Forward,2009-,2011.5,5,3,Buenos Aires,-58.3817,-34.6033
Mauro Icardi,Argentina,21,1.81,Forward,2013-,2013.5,1,0,Rosario Santa Fe,-60.6667,-32.95
Emiliano Ins&#xFA;a,Argentina,25,1.79,Defender,2009-,2011.5,4,0,Buenos Aires,-58.3817,-34.6033
Ricardo Infante,Argentina,,,Forward,1947-1958,1952.5,,,La Plata,-57.9544,-34.9211
Hugo Ibarra,Argentina,40,1.71,Defender,1998-2007,2002.5,11,0,El Colorado,-59.3667,-26.3
Agust&#xED;n Irusta,Argentina,72,,Goalkeeper,,,0,,Villa Mar&#xED;a,-63.2667,-32.5833
Sebasti&#xE1;n Jaime,Argentina,27,1.79,Forward,,,,,La Plata,-57.9544,-34.9211
Franco Jara,Argentina,26,1.79,Forward,2010-,2012,4,1,Villa Mar&#xED;a,-63.2667,-32.5833
Ren&#xE9; Houseman,Argentina,61,1.65,Midfielder,1973-1979,1976,55,13,La Banda Argentina,-64.25,-27.7333
Federico Ins&#xFA;a,Argentina,34,1.79,Midfielder,2003-2010,2006.5,14,0,Buenos Aires,-58.3817,-34.6033
Rolando Irusta,Argentina,76,,Goalkeeper,,,,,Argentina,-58.3833,-34.6
Rub&#xE9;n Dar&#xED;o Ins&#xFA;a,Argentina,53,,Forward,1983-1984,1983.5,5,0,Buenos Aires,-58.3817,-34.6033
Mario Kempes,Argentina,60,1.84,Forward,1973-1982,1977.5,43,20,Bell Ville,-62.6833,-32.6333
Luis Islas,Argentina,48,1.92,Goalkeeper,1984-1994,1989,30,0,Buenos Aires,-58.3817,-34.6033
Roberto Ira&#xF1;eta,Argentina,,,Forward,,,,,Argentina,-58.3833,-34.6
Carlos Ischia,Argentina,57,,Defender,,,,,Buenos Aires,-58.3817,-34.6033
Alejandro Kruchowski,Argentina,31,1.80,Defender,,,,,Buenos Aires,-58.3817,-34.6033
&#xC1;ngel Labruna,Argentina,,,Forward,1942-1958,1950,37,17,Buenos Aires,-58.3817,-34.6033
Daniel Killer,Argentina,64,,Defender,1975-1978,1976.5,22,3,Rosario Santa Fe,-60.6667,-32.95
&#xC9;rik Lamela,Argentina,22,1.83,Midfielder,2011-,2012.5,6,0,Buenos Aires,-58.3817,-34.6033
Omar Larrosa,Argentina,66,,Midfielder,1977-1978,1977.5,11,0,Lan&#xFA;s,-58.4,-34.7
Ricardo La Volpe,Argentina,62,1.88,Goalkeeper,1975-1978,1976.5,8,0,Buenos Aires,-58.3817,-34.6033
Miguel &#xC1;ngel Lauri,Argentina,,,Forward,1937,1937,1,0,Z&#xE1;rate Buenos Aires,-59.0333,-34.0833
Alejandro Lanari,Argentina,54,,Goalkeeper,1991,1991,1,0,Buenos Aires,-58.3817,-34.6033
Ezequiel Lavezzi,Argentina,29,1.73,Forward,2007-,2010.5,37,3,Villa Gobernador G&#xE1;lvez,-61,-33
C&#xE9;sar-Auguste Laraign&#xE9;e,Argentina,65,1.82,Defender,1970,1970,,,Buenos Aires,-58.3817,-34.6033
Pedro Larraquy,Argentina,58,,Defender,1979,1979,4,0,Buenos Aires,-58.3817,-34.6033
Diego Latorre,Argentina,45,,Forward,1991,1991,6,1,Buenos Aires,-58.3817,-34.6033
Carlos Lett,Argentina,,,Forward,1905-11,958,,,Argentina,-58.3833,-34.6
Juan Francisco Lombardo,Argentina,,,Defender,1952-1959,1955.5,37,0,Mendoza Argentina,-68.8167,-32.8833
Arcadio L&#xF3;pez,Argentina,,,Midfielder,,,,,Buenos Aires,-58.3817,-34.6033
Pablo Ledesma,Argentina,30,1.75,Midfielder,2007-,2010.5,4,0,La Falda,-64.5,-31.0833
Julio Libonatti,Argentina,,,Forward,1919-1922,1920.5,15,8,Rosario Santa Fe,-60.6667,-32.95
Claudio L&#xF3;pez (footballer),Argentina,40,1.78,Forward,1995-2003,1999,55,10,R&#xED;o Tercero C&#xF3;rdoba,-64.1,-32.1833
Cristian Ra&#xFA;l Ledesma,Argentina,35,1.78,Midfielder,2007-2008,2007.5,4,0,San Isidro Buenos Aires,-58.5167,-34.4667
Lisandro Ezequiel L&#xF3;pez,Argentina,24,1.87,Defender,2011-,2012.5,4,0,Villa Constituci&#xF3;n,-60.3333,-33.2333
Juan Jos&#xE9; L&#xF3;pez,Argentina,63,,Midfielder,1972-1974,1973,1,1,Guernica Buenos Aires,-58.3833,-34.9167
Francisco Lojacono,Argentina,,,Midfielder,1959-1962,1960.5,8,5,Buenos Aires,-58.3817,-34.6033
F&#xE9;lix Loustau,Argentina,,,Midfielder,1945-1952,1948.5,28,10,Avellaneda,-58.3667,-34.6667
Alfonso Lorenzo,Argentina,,,Midfielder,,,,,Argentina,-58.3833,-34.6
N&#xE9;stor Lorenzo,Argentina,48,1.85,Defender,1988-1990,1989,13,1,Buenos Aires,-58.3817,-34.6033
Segundo Luna,Argentina,,,Forward,1927-1928,1927.5,7,3,Santiago del Estero,-64.2667,-27.7833
Lisandro L&#xF3;pez,Argentina,31,1.74,Forward,2005-2009,2007,7,1,Argentina,-58.3833,-34.6
Nelson L&#xF3;pez,Argentina,73,,Defender,,,,,Argentina,-58.3833,-34.6
Gustavo Lombardi,Argentina,38,,Defender,1997,1997,2,0,Rosario Santa Fe,-60.6667,-32.95
Leopoldo Luque,Argentina,65,1.85,Forward,1975-1981,1978,45,22,Santa Fe Argentina,-60.7,-31.6333
Gustavo Adri&#xE1;n L&#xF3;pez,Argentina,41,1.74,Midfielder,1994-2003,1998.5,32,4,Valent&#xED;n Alsina Buenos Aires,-58.4167,-34.6667
Jonathan Maidana,Argentina,29,1.83,Defender,2011-,2012.5,2,0,Adrogu&#xE9;,-58.3833,-34.8
Luis Izzeta,Argentina,,,Forward,,,,,Argentina,-58.3833,-34.6
Germ&#xE1;n Lux,Argentina,32,1.85,Goalkeeper,2005,2005,6,0,Carcara&#xF1;&#xE1;,-61.15,-32.85
Alejandro Mancuso,Argentina,45,1.75,Midfielder,1992-1994,1993,10,0,Ciudadela Buenos Aires,-58.5333,-34.6333
Andr&#xE9;s Mack,Argentina,,1.60,Midfielder,,,,,Canberra,149.1242,-35.3075
Carlos Mac Allister,Argentina,46,1.75,Defender,1993,1993,3,0,Santa Rosa La Pampa,-64.2833,-36.6167
Juan Maglio,Argentina,,,Midfielder,1925-1931,1928,9,3,Argentina,-58.3833,-34.6
Claudio Marangoni,Argentina,59,1.86,Midfielder,1983-1984,1983.5,9,0,Rosario Santa Fe,-60.6667,-32.95
Ra&#xFA;l Madero,Argentina,75,,Defender,,,,,Buenos Aires,-58.3817,-34.6033
Eduardo Luj&#xE1;n Manera,Argentina,,,,,,,,Concepci&#xF3;n del Uruguay,-58.2333,-32.4833
Agust&#xED;n Marches&#xED;n,Argentina,26,1.88,Goalkeeper,2010-,2012,1,0,San Cayetano Buenos Aires,-59.6167,-38.3167
Alberto Marcovecchio,Argentina,,,Forward,1911-19,965,11,9,Avellaneda,-58.3667,-34.6667
Jorge Daniel Mart&#xED;nez,Argentina,41,1.70,Defender,1997,1997,3,0,Montecarlo Misiones,-54.7833,-26.5667
Diego Maradona,Argentina,53,1.66,Forward,1977-1994,1985.5,91,34,Lan&#xFA;s,-58.4,-34.7
Alberto M&#xE1;rcico,Argentina,54,,Midfielder,1983-1992,1987.5,15,0,Corrientes,-58.8167,-27.4833
&#xC1;ngel Marcos,Argentina,71,1.74,Forward,,,,,Buenos Aires,-58.3817,-34.6033
Alberto Mariotti,Argentina,79,,Defender,,,,,Argentina,-58.3833,-34.6
Juan Marvezzi,Argentina,,,Forward,,,9,9,San Miguel de Tucum&#xE1;n,-65.2167,-26.8331
Rinaldo Martino,Argentina,,,Forward,1942-1948,1945,20,15,Rosario Santa Fe,-60.6667,-32.95
Gerardo Martino,Argentina,51,1.75,Midfielder,1991,1991,1,0,Rosario Santa Fe,-60.6667,-32.95
Oscar M&#xE1;s,Argentina,67,,Forward,1965-1972,1968.5,37,10,Villa Ballester,-58.5333,-34.5167
Herminio Masantonio,Argentina,,,Forward,1935-1942,1938.5,19,21,Ensenada Buenos Aires Province,-57.9,-34.85
Juan Manuel Mart&#xED;nez,Argentina,28,1.73,Forward,2011-,2012.5,4,1,Viedma R&#xED;o Negro,-62.9731,-40.8275
Humberto Maschio,Argentina,81,,Forward,1956-1957,1956.5,12,12,Avellaneda,-58.3667,-34.6667
Javier Mascherano,Argentina,30,1.76,Defender,2003-,2008.5,105,3,San Lorenzo Santa Fe,-60.7333,-32.75
Silvio Marzolini,Argentina,73,,Defender,1960-1969,1964.5,28,1,Buenos Aires,-58.3817,-34.6033
Ernesto Mastr&#xE1;ngelo,Argentina,66,,Forward,-,NaN,,,Rufino Santa Fe,-62.7,-34.2667
Hern&#xE1;n D&#xED;az,Argentina,49,1.75,Defender,1987-1998,1992.5,28,3,Barrancas,
Alexis Ferrero,Argentina,35,1.82,Defender,2009-,2011.5,1,0,Calchaqu&#xED; Santa Fe,
Dar&#xED;o Franco,Argentina,45,1.89,Defender,1991-1994,1992.5,22,6,Cruz Alta C&#xF3;rdoba,
Fernando Galetto,Argentina,43,1.87,Midfielder,1995,1995,1,0,Monte Cristo C&#xF3;rdoba,
Carlos Matheu,Argentina,29,1.83,Defender,2010,2010,1,0,Quilmes,-58.2667,-34.7167
Ernesto Lazzatti,Argentina,,,Midfielder,1936-1937,1936.5,4,0,Ingeniero White,
Ram&#xF3;n Medina Bello,Argentina,48,1.73,Forward,1991-1994,1992.5,17,5,Gualeguay Entre R&#xED;os,-59.3333,-33.15
Vicente de la Mata,Argentina,,1.72,Forward,1937-1946,1941.5,13,6,Rosario Santa Fe,-60.6667,-32.95
Vicente de la Mata (born 1944),Argentina,70,,Midfielder,1965-1966,1965.5,6,0,Rosario Santa Fe,-60.6667,-32.95
&#xC1;ngel M&#xE9;dici,Argentina,,,Defender,1922-1928,1925,34,0,Buenos Aires,-58.3817,-34.6033
Norberto Doroteo M&#xE9;ndez,Argentina,,,Forward,1945-1956,1950.5,31,19,Buenos Aires,-58.3817,-34.6033
Nicol&#xE1;s Medina,Argentina,32,1.77,Midfielder,2004,2004,1,0,Buenos Aires,-58.3817,-34.6033
Juan Ignacio Mercier,Argentina,34,1.85,Midfielder,2010-,2012,3,0,Campana Buenos Aires Province,-58.9167,-34.1667
Gabriel Mercado,Argentina,27,1.82,Defender,2010-,2012,1,0,Puerto Madryn,-65.05,-42.7667
Sebasti&#xE1;n M&#xE9;ndez,Argentina,37,1.77,Defender,1999,1999,2,0,Buenos Aires,-58.3817,-34.6033
Diego Milito,Argentina,35,1.83,Forward,2003-2011,2007,25,4,Bernal Argentina,-58.2833,-34.7
Gabriel Milito,Argentina,33,1.79,Defender,2000-2011,2005.5,42,1,Bernal Argentina,-58.2833,-34.7
C&#xE9;sar Luis Menotti,Argentina,75,,Forward,1963,1963,2,0,Rosario Santa Fe,-60.6667,-32.95
Norberto Men&#xE9;ndez,Argentina,,,Forward,1957-1958,1957.5,14,4,Buenos Aires,-58.3817,-34.6033
Rodolfo Micheli,Argentina,84,,Forward,1953-1956,1954.5,13,10,Munro Buenos Aires,-58.5167,-34.5333
Roberto Molina (footballer),Argentina,42,1.76,Midfielder,1996,1996,1,0,Mendoza Argentina,-68.8167,-32.8833
Walter Montillo,Argentina,30,1.71,Midfielder,2011-,2012.5,6,0,Lan&#xFA;s,-58.4,-34.7
Lionel Messi,Argentina,27,1.69,Forward,2005-,2009.5,93,42,Rosario Santa Fe,-60.6667,-32.95
Jos&#xE9; Mar&#xED;a Minella,Argentina,,,Midfielder,1933-1941,1937,24,1,Mar del Plata,-57.55,-38
Pedro Monz&#xF3;n,Argentina,52,1.83,Defender,1988-1990,1989,15,1,Goya Corrientes,-59.25,-29.1333
Roberto Monserrat,Argentina,45,,Midfielder,1993-1997,1995,4,0,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Luis Monti,Argentina,,,Midfielder,1932-1936,1934,18,1,Buenos Aires,-58.3817,-34.6033
Daniel Montenegro,Argentina,35,1.72,Midfielder,2007-2009,2008,3,0,Buenos Aires,-58.3817,-34.6033
Luciano Fabi&#xE1;n Monz&#xF3;n,Argentina,27,1.79,Defender,2009-,2011.5,7,0,Granadero Baigorria,-60.7,-32.85
Hugo Morales,Argentina,40,1.74,Midfielder,1995-1996,1995.5,9,2,Buenos Aires,-58.3817,-34.6033
Carlos Morete,Argentina,62,,Forward,,,2,1,Munro Buenos Aires,-58.5167,-34.5333
Guillermo Morigi,Argentina,40,1.75,Midfielder,1996,1996,1,0,Caseros Buenos Aires,-58.5625,-34.6106
Jos&#xE9; Manuel Moreno,Argentina,,,Forward,1936-1950,1943,34,19,Buenos Aires,-58.3817,-34.6033
Roberto Mouzo,Argentina,61,,Defender,1974-1983,1978.5,4,0,Avellaneda,-58.3667,-34.6667
Juan Carlos Mu&#xF1;oz,Argentina,,,Midfielder,1945,1945,11,2,Avellaneda,-58.3667,-34.6667
Eliseo Mouri&#xF1;o,Argentina,,1.68,Midfielder,1952-1959,1955.5,21,0,Buenos Aires,-58.3817,-34.6033
Milton Axel M&#xFC;ller,Argentina,24,1.75,Midfielder,,,,,Rosario Santa Fe,-60.6667,-32.95
Rub&#xE9;n Marino Navarro,Argentina,,1.78,Defender,1960-1963,1961.5,32,0,La Banda Argentina,-64.25,-27.7333
Arturo Na&#xF3;n,Argentina,,,Forward,,,,,La Plata,-57.9544,-34.9211
Juan Carlos Mur&#xFA;a,Argentina,,,Defender,,,,,Argentina,-58.3833,-34.6
Ram&#xF3;n Muttis,Argentina,,1.82,Defender,1923-1930,1926.5,11,0,Buenos Aires,-58.3817,-34.6033
Pedro Ochoa,Argentina,,,Forward,1927-1928,1927.5,2,0,Avellaneda,-58.3667,-34.6667
Mateo Musacchio,Argentina,23,1.79,Defender,2011-,2012.5,2,0,Rosario Santa Fe,-60.6667,-32.95
Antonio Mohamed,Argentina,44,1.75,Forward,1988-1991,1989.5,4,1,Buenos Aires,-58.3817,-34.6033
Alberto Ohaco,Argentina,,,Forward,1912-1918,1915,13,7,Avellaneda,-58.3667,-34.6667
Marcelo Ojeda,Argentina,45,1.90,Goalkeeper,1997,1997,1,0,Avellaneda,-58.3667,-34.6667
Francisco Olazar,Argentina,,,Midfielder,,,18,1,Quilmes,-58.2667,-34.7167
Jos&#xE9; Nehin,Argentina,,,Midfielder,,,,,Argentina,-58.3833,-34.6
Daniel Onega,Argentina,69,,Forward,1966-1972,1969,13,,Las Parejas Santa Fe,-61.5333,-32.6833
Mauro Olivi,Argentina,31,1.74,Forward,,,,,Jacinto Ar&#xE1;uz,-63.4333,-38.0667
Alfredo Obberti,Argentina,69,1.85,Forward,,,,,Buenos Aires,-58.3817,-34.6033
Jos&#xE9; Miguel Noguera,Argentina,,1.64,Forward,1950-1953,1951.5,,,Buenos Aires,-58.3817,-34.6033
Nicol&#xE1;s Olmedo,Argentina,31,1.83,Midfielder,2010,2010,1,0,Godoy Cruz Mendoza,-68.8333,-32.9167
Julio Olarticoechea,Argentina,55,1.70,Defender,1982-1990,1986,32,0,Saladillo Buenos Aires,-59.7667,-35.6333
Agust&#xED;n Ori&#xF3;n,Argentina,33,1.78,Goalkeeper,2011-,2012.5,3,0,Ramos Mej&#xED;a,-58.5667,-34.65
Jorge Olgu&#xED;n,Argentina,62,1.76,Defender,1976-1982,1979,60,0,Dolores Buenos Aires,-57.6667,-36.3167
Raimundo Orsi,Argentina,,,Forward,1936,1936,1,0,Avellaneda,-58.3667,-34.6667
Ces&#xE1;reo Onzari,Argentina,,,Midfielder,1922-1924,1923,15,5,Buenos Aires,-58.3817,-34.6033
Ermindo Onega,Argentina,,,Midfielder,1960-1967,1963.5,30,11,Las Parejas Santa Fe,-61.5333,-32.6833
Lucas Orb&#xE1;n,Argentina,25,1.86,Defender,2013-,2013.5,1,0,Buenos Aires,-58.3817,-34.6033
Miguel Oviedo,Argentina,63,,Midfielder,,,,,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Rodolfo Orlandini,Argentina,,,Midfielder,1927-1930,1928.5,10,0,Buenos Aires,-58.3817,-34.6033
Nicol&#xE1;s Otamendi,Argentina,26,1.84,Defender,2009-,2011.5,16,1,Buenos Aires,-58.3817,-34.6033
Oscar Alberto Ortiz,Argentina,61,1.70,Midfielder,1975-1979,1977,23,3,Chacabuco,-69.6167,-23.1472
Isel&#xED;n Santos Ovejero,Argentina,68,,Defender,1967,1967,4,0,Mendoza Argentina,-68.8167,-32.8833
Carlos Pacham&#xE9;,Argentina,70,1.72,Midfielder,1967-1969,1968,10,0,Rivadavia Department Buenos Aires,-62.9833,-35.4833
Rub&#xE9;n Pagnanini,Argentina,65,,Defender,,,,,San Nicol&#xE1;s de los Arroyos,-60.2167,-33.3333
Mart&#xED;n Palermo,Argentina,40,1.87,Forward,1999-2010,2004.5,15,9,La Plata,-57.9544,-34.9211
Emiliano Papa,Argentina,32,1.71,Defender,2008-,2011,8,0,Acebal Santa Fe,-60.8333,-33.2333
Ra&#xFA;l P&#xE1;ez,Argentina,77,1.76,Defender,,,,,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Rodrigo Palacio,Argentina,32,1.76,Forward,2005-,2009.5,27,3,Bah&#xED;a Blanca,-62.2667,-38.7167
Mart&#xED;n Pando,Argentina,79,1.59,Forward,1960-1962,1961,11,3,Argentina,-58.3833,-34.6
Javier Pastore,Argentina,25,1.87,Midfielder,2010-,2012,13,0,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Daniel Passarella,Argentina,61,1.73,Defender,1974-1986,1980,70,22,Chacabuco Buenos Aires,-60.4667,-34.6333
Fernando Pandolfi,Argentina,40,1.82,Forward,1999,1999,2,0,Buenos Aires,-58.3817,-34.6033
Mariano Pavone,Argentina,32,1.77,Forward,2007,2007,1,0,Tres Sargentos,-60.0167,-34.45
Pedro Pasculli,Argentina,54,1.72,Forward,1984-1987,1985.5,20,5,Santa Fe Argentina,-60.7,-31.6333
Jos&#xE9; Omar Pastoriza,Argentina,,1.85,Midfielder,1966-1972,1969,18,,Rosario Santa Fe,-60.6667,-32.95
Ariel Ortega,Argentina,40,1.70,Forward,1993-2010,2001.5,87,16,Libertador General San Mart&#xED;n Jujuy,-64.7833,-23.8
Fernando Paternoster,Argentina,,,Defender,1928-1930,1929,16,0,Pehuaj&#xF3;,-61.9,-35.8
Nicol&#xE1;s Pareja,Argentina,30,1.81,Defender,2009-,2011.5,1,0,Buenos Aires,-58.3817,-34.6033
Adolfo Pedernera,Argentina,,,Forward,1940-1946,1943,21,7,Avellaneda,-58.3667,-34.6667
Jos&#xE9; Luis Pavoni,Argentina,60,,Defender,-1975-,,,,Rosario Santa Fe,-60.6667,-32.95
Jorge Pellegrini,Argentina,58,,Defender,1985-1986,1985.5,,,Santa Fe Argentina,-60.7,-31.6333
Alfredo Peel,Argentina,,,,1911,1911,4,0,England,-0.1167,51.5000
Pablo Paz,Argentina,41,1.81,Defender,1996-1998,1997,22,1,Bah&#xED;a Blanca,-62.2667,-38.7167
Manuel Pelegrina,Argentina,,,Forward,,,,,C&#xF3;rdoba Argentina,-64.1833,-31.4167
Enzo P&#xE9;rez,Argentina,28,1.77,Midfielder,2009-,2011.5,11,1,Maip&#xFA; Mendoza,-68.75,-32.9667
Jos&#xE9; Alberto Percudani,Argentina,49,,Forward,1987,1987,5,0,Bragado,-60.5,-35.1167
